,Description,Year,Variable,variable,value
143,Company,2019,SGH Warsaw School of Economics,Alumni,82
144,Company,2019,BNP Paribas Securities Services,Alumni,82
145,Company,2019,Students' Business Club,Alumni,81
146,Company,2019,JLL,Alumni,79
147,Company,2019,PKO Bank Polski,Alumni,75
148,Company,2019,Nielsen,Alumni,67
149,Company,2019,Warsaw Consulting Club,Alumni,60
150,Company,2020,Citi,Alumni,133
151,Company,2020,Accenture,Alumni,122
152,Company,2020,EY,Alumni,113
153,Company,2020,PwC Polska,Alumni,104
154,Company,2020,CEMS Club Warsaw,Alumni,103
155,Company,2020,Deloitte,Alumni,91
156,Company,2020,Students' Business Club,Alumni,77
157,Company,2020,Procter & Gamble,Alumni,72
158,Company,2020,KPMG Poland,Alumni,65
159,Company,2020,BNP Paribas Securities Services,Alumni,61
160,Company,2020,JLL,Alumni,59
161,Company,2020,Warsaw Consulting Club,Alumni,58
162,Company,2020,PZU,Alumni,55
163,Company,2020,SGH Warsaw School of Economics,Alumni,53
164,Company,2020,Warsaw School of Economics Students' Union,Alumni,49
165,Company,2021,CEMS Club Warsaw,Alumni,86
166,Company,2021,Students' Business Club,Alumni,64
167,Company,2021,Accenture,Alumni,60
168,Company,2021,Citi,Alumni,56
169,Company,2021,EY,Alumni,53
170,Company,2021,PwC Polska,Alumni,53
171,Company,2021,Warsaw Consulting Club,Alumni,50
172,Company,2021,Deloitte,Alumni,48
173,Company,2021,Warsaw School of Economics Students' Union,Alumni,43
174,Company,2021,ZSP SGH,Alumni,36
175,Company,2021,Procter & Gamble,Alumni,36
176,Company,2021,BNP Paribas Securities Services,Alumni,35
177,Company,2021,SGH Warsaw School of Economics,Alumni,33
178,Company,2021,JLL,Alumni,28
179,Company,2021,Studenckie Koło Naukowe Negocjator,Alumni,22
180,Position,2010,Business Development,Alumni,"1,418"
181,Position,2010,Finance,Alumni,"1,044"
182,Position,2010,Sales,Alumni,771
183,Position,2010,Information Technology,Alumni,741
184,Position,2010,Operations,Alumni,715
185,Position,2010,Marketing,Alumni,584
186,Position,2010,Program and Project Management,Alumni,532
187,Position,2010,Accounting,Alumni,522
188,Position,2010,Engineering,Alumni,375
189,Position,2010,Research,Alumni,353
190,Position,2010,Consulting,Alumni,308
191,Position,2010,Support,Alumni,247
192,Position,2010,Human Resources,Alumni,240
193,Position,2010,Media and Communication,Alumni,224
194,Position,2010,Education,Alumni,219
195,Position,2011,Business Development,Alumni,"1,382"
196,Position,2011,Finance,Alumni,953
197,Position,2011,Information Technology,Alumni,804
198,Position,2011,Sales,Alumni,740
199,Position,2011,Operations,Alumni,705
200,Position,2011,Marketing,Alumni,601
201,Position,2011,Accounting,Alumni,543
202,Position,2011,Program and Project Management,Alumni,503
203,Position,2011,Engineering,Alumni,485
204,Position,2011,Research,Alumni,348
205,Position,2011,Consulting,Alumni,319
206,Position,2011,Support,Alumni,276
207,Position,2011,Human Resources,Alumni,250
208,Position,2011,Media and Communication,Alumni,243
209,Position,2011,Education,Alumni,206
210,Position,2012,Business Development,Alumni,"1,406"
211,Position,2012,Finance,Alumni,"1,074"
212,Position,2012,Information Technology,Alumni,817
213,Position,2012,Sales,Alumni,781
214,Position,2012,Operations,Alumni,716
215,Position,2012,Marketing,Alumni,662
216,Position,2012,Accounting,Alumni,573
217,Position,2012,Program and Project Management,Alumni,568
218,Position,2012,Engineering,Alumni,482
219,Position,2012,Research,Alumni,405
220,Position,2012,Consulting,Alumni,332
221,Position,2012,Media and Communication,Alumni,268
222,Position,2012,Support,Alumni,265
223,Position,2012,Human Resources,Alumni,255
224,Position,2012,Product Management,Alumni,235
225,Position,2013,Business Development,Alumni,"1,413"
226,Position,2013,Finance,Alumni,"1,083"
227,Position,2013,Information Technology,Alumni,821
228,Position,2013,Operations,Alumni,787
229,Position,2013,Sales,Alumni,762
230,Position,2013,Marketing,Alumni,652
231,Position,2013,Accounting,Alumni,596
232,Position,2013,Program and Project Management,Alumni,546
233,Position,2013,Engineering,Alumni,440
234,Position,2013,Research,Alumni,424
235,Position,2013,Consulting,Alumni,344
236,Position,2013,Support,Alumni,260
237,Position,2013,Media and Communication,Alumni,259
238,Position,2013,Human Resources,Alumni,258
239,Position,2013,Education,Alumni,228
240,Position,2014,Business Development,Alumni,"1,348"
241,Position,2014,Finance,Alumni,"1,130"
242,Position,2014,Information Technology,Alumni,876
243,Position,2014,Operations,Alumni,765
244,Position,2014,Sales,Alumni,737
245,Position,2014,Marketing,Alumni,709
246,Position,2014,Accounting,Alumni,691
247,Position,2014,Program and Project Management,Alumni,503
248,Position,2014,Engineering,Alumni,446
249,Position,2014,Research,Alumni,390
250,Position,2014,Consulting,Alumni,363
251,Position,2014,Media and Communication,Alumni,294
252,Position,2014,Support,Alumni,279
253,Position,2014,Human Resources,Alumni,259
254,Position,2014,Legal,Alumni,242
255,Position,2015,Business Development,Alumni,"1,246"
256,Position,2015,Finance,Alumni,"1,051"
257,Position,2015,Information Technology,Alumni,903
258,Position,2015,Sales,Alumni,798
259,Position,2015,Operations,Alumni,794
260,Position,2015,Accounting,Alumni,722
261,Position,2015,Marketing,Alumni,676
262,Position,2015,Program and Project Management,Alumni,510
263,Position,2015,Engineering,Alumni,490
264,Position,2015,Research,Alumni,466
265,Position,2015,Consulting,Alumni,343
266,Position,2015,Support,Alumni,295
267,Position,2015,Media and Communication,Alumni,276
268,Position,2015,Human Resources,Alumni,253
269,Position,2015,Legal,Alumni,231
270,Position,2016,Business Development,Alumni,"1,361"
271,Position,2016,Finance,Alumni,"1,139"
272,Position,2016,Information Technology,Alumni,"1,026"
273,Position,2016,Operations,Alumni,927
274,Position,2016,Sales,Alumni,818
275,Position,2016,Accounting,Alumni,811
276,Position,2016,Marketing,Alumni,747
277,Position,2016,Program and Project Management,Alumni,554
278,Position,2016,Engineering,Alumni,518
279,Position,2016,Research,Alumni,456
280,Position,2016,Consulting,Alumni,370
281,Position,2016,Support,Alumni,354
282,Position,2016,Human Resources,Alumni,271
283,Position,2016,Media and Communication,Alumni,253
284,Position,2016,Legal,Alumni,237
285,Position,2017,Business Development,Alumni,"1,193"
286,Position,2017,Finance,Alumni,"1,064"
287,Position,2017,Operations,Alumni,909
288,Position,2017,Information Technology,Alumni,889
289,Position,2017,Sales,Alumni,788
290,Position,2017,Accounting,Alumni,748
291,Position,2017,Marketing,Alumni,702
292,Position,2017,Program and Project Management,Alumni,525
293,Position,2017,Engineering,Alumni,500
294,Position,2017,Research,Alumni,465
295,Position,2017,Support,Alumni,356
296,Position,2017,Consulting,Alumni,344
297,Position,2017,Human Resources,Alumni,292
298,Position,2017,Media and Communication,Alumni,272
299,Position,2017,Education,Alumni,266
300,Position,2018,Business Development,Alumni,"1,186"
301,Position,2018,Finance,Alumni,964
302,Position,2018,Operations,Alumni,892
303,Position,2018,Information Technology,Alumni,868
304,Position,2018,Accounting,Alumni,796
305,Position,2018,Sales,Alumni,730
306,Position,2018,Marketing,Alumni,589
307,Position,2018,Program and Project Management,Alumni,496
308,Position,2018,Engineering,Alumni,479
309,Position,2018,Research,Alumni,419
310,Position,2018,Support,Alumni,379
311,Position,2018,Consulting,Alumni,329
312,Position,2018,Media and Communication,Alumni,280
313,Position,2018,Human Resources,Alumni,270
314,Position,2018,Administrative,Alumni,268
315,Position,2019,Business Development,Alumni,"1,014"
316,Position,2019,Operations,Alumni,850
317,Position,2019,Finance,Alumni,841
318,Position,2019,Information Technology,Alumni,717
319,Position,2019,Accounting,Alumni,642
320,Position,2019,Sales,Alumni,624
321,Position,2019,Marketing,Alumni,553
322,Position,2019,Program and Project Management,Alumni,363
323,Position,2019,Engineering,Alumni,363
324,Position,2019,Research,Alumni,348
325,Position,2019,Support,Alumni,332
326,Position,2019,Education,Alumni,302
327,Position,2019,Administrative,Alumni,277
328,Position,2019,Human Resources,Alumni,274
329,Position,2019,Legal,Alumni,264
330,Position,2020,Business Development,Alumni,709
331,Position,2020,Operations,Alumni,701
332,Position,2020,Finance,Alumni,694
333,Position,2020,Information Technology,Alumni,558
334,Position,2020,Accounting,Alumni,550
335,Position,2020,Sales,Alumni,517
336,Position,2020,Marketing,Alumni,443
337,Position,2020,Support,Alumni,292
338,Position,2020,Engineering,Alumni,276
339,Position,2020,Program and Project Management,Alumni,267
340,Position,2020,Research,Alumni,245
341,Position,2020,Administrative,Alumni,241
342,Position,2020,Human Resources,Alumni,233
343,Position,2020,Legal,Alumni,231
344,Position,2020,Education,Alumni,217
345,Position,2021,Operations,Alumni,359
346,Position,2021,Business Development,Alumni,332
347,Position,2021,Finance,Alumni,286
348,Position,2021,Accounting,Alumni,250
349,Position,2021,Information Technology,Alumni,236
350,Position,2021,Sales,Alumni,223
351,Position,2021,Marketing,Alumni,187
352,Position,2021,Support,Alumni,147
353,Position,2021,Education,Alumni,142
354,Position,2021,Research,Alumni,137
355,Position,2021,Administrative,Alumni,119
356,Position,2021,Engineering,Alumni,113
357,Position,2021,Program and Project Management,Alumni,100
358,Position,2021,Human Resources,Alumni,97
359,Position,2021,Legal,Alumni,96
360,Study,2010,Accounting and Finance,Alumni,"1,336"
361,Study,2010,Economics,Alumni,"1,216"
362,Study,2010,"Business Administration and Management, General",Alumni,"1,168"
363,Study,2010,Information Technology,Alumni,718
364,Study,2010,Marketing,Alumni,687
365,Study,2010,Project Management,Alumni,659
366,Study,2010,"Marketing/Marketing Management, General",Alumni,489
367,Study,2010,Banking and Financial Support Services,Alumni,471
368,Study,2010,Management Sciences and Quantitative Methods,Alumni,451
369,Study,2010,International Business,Alumni,429
370,Study,2010,"Finance, General",Alumni,397
371,Study,2010,International Economics,Alumni,216
372,Study,2010,International Relations,Alumni,212
373,Study,2010,International/Global Studies,Alumni,198
374,Study,2010,Computer Science,Alumni,197
375,Study,2011,Accounting and Finance,Alumni,"1,479"
376,Study,2011,Economics,Alumni,"1,307"
377,Study,2011,"Business Administration and Management, General",Alumni,"1,157"
378,Study,2011,Information Technology,Alumni,793
379,Study,2011,Project Management,Alumni,712
380,Study,2011,Marketing,Alumni,646
381,Study,2011,Management Sciences and Quantitative Methods,Alumni,541
382,Study,2011,"Marketing/Marketing Management, General",Alumni,433
383,Study,2011,International Business,Alumni,427
384,Study,2011,"Finance, General",Alumni,367
385,Study,2011,Banking and Financial Support Services,Alumni,289
386,Study,2011,International Economics,Alumni,228
387,Study,2011,Computer Science,Alumni,217
388,Study,2011,International/Global Studies,Alumni,203
389,Study,2011,Law,Alumni,196
390,Study,2012,Accounting and Finance,Alumni,"1,671"
391,Study,2012,Economics,Alumni,"1,365"
392,Study,2012,"Business Administration and Management, General",Alumni,"1,158"
393,Study,2012,Information Technology,Alumni,911
394,Study,2012,Project Management,Alumni,737
395,Study,2012,Marketing,Alumni,636
396,Study,2012,Management Sciences and Quantitative Methods,Alumni,572
397,Study,2012,International Business,Alumni,461
398,Study,2012,"Marketing/Marketing Management, General",Alumni,428
399,Study,2012,"Finance, General",Alumni,346
400,Study,2012,International Economics,Alumni,271
401,Study,2012,Banking and Financial Support Services,Alumni,259
402,Study,2012,International/Global Studies,Alumni,222
403,Study,2012,Computer Science,Alumni,206
404,Study,2012,Law,Alumni,198
405,Study,2013,Accounting and Finance,Alumni,"1,694"
406,Study,2013,Economics,Alumni,"1,371"
407,Study,2013,"Business Administration and Management, General",Alumni,"1,194"
408,Study,2013,Information Technology,Alumni,857
409,Study,2013,Marketing,Alumni,615
410,Study,2013,Project Management,Alumni,613
411,Study,2013,Management Sciences and Quantitative Methods,Alumni,586
412,Study,2013,International Business,Alumni,434
413,Study,2013,"Marketing/Marketing Management, General",Alumni,377
414,Study,2013,"Finance, General",Alumni,367
415,Study,2013,International/Global Studies,Alumni,280
416,Study,2013,Banking and Financial Support Services,Alumni,263
417,Study,2013,International Economics,Alumni,261
418,Study,2013,Law,Alumni,207
419,Study,2013,Accounting,Alumni,195
420,Study,2014,Accounting and Finance,Alumni,"1,764"
421,Study,2014,Economics,Alumni,"1,460"
422,Study,2014,"Business Administration and Management, General",Alumni,"1,230"
423,Study,2014,Information Technology,Alumni,821
424,Study,2014,Management Sciences and Quantitative Methods,Alumni,643
425,Study,2014,Marketing,Alumni,603
426,Study,2014,Project Management,Alumni,559
427,Study,2014,International Business,Alumni,427
428,Study,2014,"Finance, General",Alumni,375
429,Study,2014,"Marketing/Marketing Management, General",Alumni,365
