,Description,Year,Variable,variable,value
615,Skill,2015,Microsoft Office,Alumni,"3,431"
616,Skill,2015,Microsoft Excel,Alumni,"2,175"
617,Skill,2015,AutoCAD,Alumni,"2,034"
618,Skill,2015,Project Management,Alumni,"1,809"
619,Skill,2015,SQL,Alumni,"1,545"
620,Skill,2015,Teamwork,Alumni,"1,364"
621,Skill,2015,English,Alumni,"1,252"
622,Skill,2015,Java,Alumni,"1,187"
623,Skill,2015,Python (Programming Language),Alumni,"1,141"
624,Skill,2015,C++,Alumni,"1,121"
625,Skill,2015,Git,Alumni,"1,105"
626,Skill,2015,Microsoft Word,Alumni,"1,089"
627,Skill,2015,Management,Alumni,"1,023"
628,Skill,2015,MATLAB,Alumni,957
629,Skill,2015,Data Analysis,Alumni,922
630,Skill,2016,Microsoft Office,Alumni,"3,191"
631,Skill,2016,Microsoft Excel,Alumni,"2,009"
632,Skill,2016,AutoCAD,Alumni,"1,938"
633,Skill,2016,Project Management,Alumni,"1,687"
634,Skill,2016,SQL,Alumni,"1,554"
635,Skill,2016,Teamwork,Alumni,"1,333"
636,Skill,2016,English,Alumni,"1,328"
637,Skill,2016,Java,Alumni,"1,214"
638,Skill,2016,Python (Programming Language),Alumni,"1,171"
639,Skill,2016,Git,Alumni,"1,153"
640,Skill,2016,C++,Alumni,"1,093"
641,Skill,2016,Microsoft Word,Alumni,"1,061"
642,Skill,2016,MATLAB,Alumni,908
643,Skill,2016,Management,Alumni,891
644,Skill,2016,Microsoft PowerPoint,Alumni,874
645,Skill,2017,Microsoft Office,Alumni,"2,981"
646,Skill,2017,Microsoft Excel,Alumni,"1,947"
647,Skill,2017,AutoCAD,Alumni,"1,823"
648,Skill,2017,SQL,Alumni,"1,527"
649,Skill,2017,Project Management,Alumni,"1,487"
650,Skill,2017,English,Alumni,"1,369"
651,Skill,2017,Teamwork,Alumni,"1,356"
652,Skill,2017,Python (Programming Language),Alumni,"1,273"
653,Skill,2017,Java,Alumni,"1,163"
654,Skill,2017,Git,Alumni,"1,136"
655,Skill,2017,C++,Alumni,"1,135"
656,Skill,2017,Microsoft Word,Alumni,"1,026"
657,Skill,2017,MATLAB,Alumni,956
658,Skill,2017,Data Analysis,Alumni,906
659,Skill,2017,Microsoft PowerPoint,Alumni,884
660,Skill,2018,Microsoft Office,Alumni,"2,724"
661,Skill,2018,Microsoft Excel,Alumni,"1,799"
662,Skill,2018,AutoCAD,Alumni,"1,671"
663,Skill,2018,SQL,Alumni,"1,514"
664,Skill,2018,Python (Programming Language),Alumni,"1,343"
665,Skill,2018,Teamwork,Alumni,"1,312"
666,Skill,2018,Project Management,Alumni,"1,304"
667,Skill,2018,English,Alumni,"1,291"
668,Skill,2018,Java,Alumni,"1,182"
669,Skill,2018,Git,Alumni,"1,118"
670,Skill,2018,C++,Alumni,"1,099"
671,Skill,2018,Microsoft Word,Alumni,959
672,Skill,2018,MATLAB,Alumni,917
673,Skill,2018,Data Analysis,Alumni,855
674,Skill,2018,Analytical Skills,Alumni,797
675,Skill,2019,Microsoft Office,Alumni,"2,466"
676,Skill,2019,Microsoft Excel,Alumni,"1,557"
677,Skill,2019,AutoCAD,Alumni,"1,471"
678,Skill,2019,English,Alumni,"1,296"
679,Skill,2019,SQL,Alumni,"1,260"
680,Skill,2019,Python (Programming Language),Alumni,"1,217"
681,Skill,2019,Teamwork,Alumni,"1,200"
682,Skill,2019,Project Management,Alumni,"1,074"
683,Skill,2019,C++,Alumni,975
684,Skill,2019,Java,Alumni,960
685,Skill,2019,Git,Alumni,958
686,Skill,2019,MATLAB,Alumni,820
687,Skill,2019,Microsoft Word,Alumni,805
688,Skill,2019,Data Analysis,Alumni,777
689,Skill,2019,Analytical Skills,Alumni,732
690,Skill,2020,Microsoft Office,Alumni,"1,943"
691,Skill,2020,Microsoft Excel,Alumni,"1,244"
692,Skill,2020,AutoCAD,Alumni,"1,175"
693,Skill,2020,English,Alumni,"1,145"
694,Skill,2020,Python (Programming Language),Alumni,"1,104"
695,Skill,2020,SQL,Alumni,"1,067"
696,Skill,2020,Teamwork,Alumni,930
697,Skill,2020,C++,Alumni,896
698,Skill,2020,Git,Alumni,869
699,Skill,2020,Java,Alumni,842
700,Skill,2020,Project Management,Alumni,828
701,Skill,2020,MATLAB,Alumni,695
702,Skill,2020,Data Analysis,Alumni,657
703,Skill,2020,Analytical Skills,Alumni,625
704,Skill,2020,Microsoft Word,Alumni,618
705,Skill,2021,Microsoft Office,Alumni,857
706,Skill,2021,Python (Programming Language),Alumni,618
707,Skill,2021,English,Alumni,589
708,Skill,2021,SQL,Alumni,557
709,Skill,2021,Microsoft Excel,Alumni,553
710,Skill,2021,AutoCAD,Alumni,548
711,Skill,2021,C++,Alumni,516
712,Skill,2021,Git,Alumni,490
713,Skill,2021,Java,Alumni,476
714,Skill,2021,Teamwork,Alumni,420
715,Skill,2021,MATLAB,Alumni,361
716,Skill,2021,Project Management,Alumni,340
717,Skill,2021,Analytical Skills,Alumni,329
718,Skill,2021,C (Programming Language),Alumni,320
719,Skill,2021,Linux,Alumni,294
