,Description,Year,Variable,variable,value
144,Company,2019,PwC Polska,Alumni,43
145,Company,2019,PKO Bank Polski,Alumni,41
146,Company,2019,PZU,Alumni,37
147,Company,2019,RB,Alumni,37
148,Company,2019,Orange Polska,Alumni,32
149,Company,2019,Institute of Aviation,Alumni,32
150,Company,2020,Warsaw University of Technology,Alumni,188
151,Company,2020,Accenture,Alumni,65
152,Company,2020,Procter & Gamble,Alumni,52
153,Company,2020,Samorząd Studentów Politechniki Warszawskiej,Alumni,42
154,Company,2020,Samsung Electronics Polska,Alumni,36
155,Company,2020,Netcompany,Alumni,34
156,Company,2020,Samsung Electronics,Alumni,33
157,Company,2020,PwC Polska,Alumni,31
158,Company,2020,KMD Poland,Alumni,27
159,Company,2020,RB,Alumni,27
160,Company,2020,EY,Alumni,26
161,Company,2020,Students' Space Association,Alumni,26
162,Company,2020,PKO Bank Polski,Alumni,26
163,Company,2020,Students' Robotics Association (Koło Naukowe Robotyków KNR),Alumni,22
164,Company,2020,Institute of Aviation,Alumni,22
165,Company,2021,Warsaw University of Technology,Alumni,115
166,Company,2021,Samorząd Studentów Politechniki Warszawskiej,Alumni,37
167,Company,2021,Accenture,Alumni,35
168,Company,2021,Students' Space Association,Alumni,24
169,Company,2021,Procter & Gamble,Alumni,23
170,Company,2021,Samsung Electronics,Alumni,23
171,Company,2021,KMD Poland,Alumni,20
172,Company,2021,Netcompany,Alumni,19
173,Company,2021,Students' Robotics Association (Koło Naukowe Robotyków KNR),Alumni,17
174,Company,2021,Power Engineering Academic Study Group,Alumni,17
175,Company,2021,PwC Polska,Alumni,16
176,Company,2021,Institute of Aviation,Alumni,15
177,Company,2021,Testronic,Alumni,9
178,Company,2021,BEC Poland,Alumni,8
179,Company,2021,SUNTECH SA,Alumni,7
180,Position,2010,Engineering,Alumni,"1,857"
181,Position,2010,Information Technology,Alumni,"1,042"
182,Position,2010,Business Development,Alumni,830
183,Position,2010,Operations,Alumni,799
184,Position,2010,Program and Project Management,Alumni,457
185,Position,2010,Arts and Design,Alumni,422
186,Position,2010,Sales,Alumni,385
187,Position,2010,Research,Alumni,326
188,Position,2010,Finance,Alumni,266
189,Position,2010,Education,Alumni,232
190,Position,2010,Consulting,Alumni,161
191,Position,2010,Support,Alumni,153
192,Position,2010,Administrative,Alumni,146
193,Position,2010,Quality Assurance,Alumni,140
194,Position,2010,Marketing,Alumni,130
195,Position,2011,Engineering,Alumni,"1,840"
196,Position,2011,Information Technology,Alumni,"1,046"
197,Position,2011,Business Development,Alumni,769
198,Position,2011,Operations,Alumni,744
199,Position,2011,Program and Project Management,Alumni,423
200,Position,2011,Arts and Design,Alumni,395
201,Position,2011,Sales,Alumni,392
202,Position,2011,Research,Alumni,302
203,Position,2011,Finance,Alumni,259
204,Position,2011,Education,Alumni,249
205,Position,2011,Consulting,Alumni,190
206,Position,2011,Support,Alumni,178
207,Position,2011,Administrative,Alumni,153
208,Position,2011,Quality Assurance,Alumni,147
209,Position,2011,Marketing,Alumni,129
210,Position,2012,Engineering,Alumni,"2,200"
211,Position,2012,Information Technology,Alumni,"1,156"
212,Position,2012,Operations,Alumni,853
213,Position,2012,Business Development,Alumni,829
